2018-04-09 12:28:32 testlogin.py[line:19] INFO    : ---测试用例开始----
2018-04-09 12:28:35 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "platformName": "any", "goog:chromeOptions": {"extensions": [], "args": []}}}, "desiredCapabilities": {"browserName": "chrome", "version": "", "platform": "ANY", "goog:chromeOptions": {"extensions": [], "args": []}}}
2018-04-09 12:28:39 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:39 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/url {"url": "http://portaltest.wgmf.com/index.html", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:42 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:42 basepage.py[line:36] INFO    : open url:http://portaltest.wgmf.com/index.html
2018-04-09 12:28:42 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/window/current/maximize {"windowHandle": "current", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:43 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:43 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:43 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:44 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:44 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:45 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:45 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:46 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:46 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:47 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:47 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:48 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:48 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:49 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:49 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:50 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:50 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:51 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:51 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:52 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/title {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:52 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:53 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/element {"using": "id", "value": "loginShow", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:53 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:53 basepage.py[line:79] INFO    : click element:loginShow
